,id,brand,car_type,car_model,problem_desc,problem_dict,complain_time,status
92,486125,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳中控死机 赠送保养承诺不兑现,"H134,I295,L313,N317,",2020-06-19,处理反馈
93,486122,一汽-大众,宝来,2019款 改款 1.5L 手动 舒适型 国VI,一汽大众宝来天窗密封条损坏希望保修,"H48,",2020-06-19,处理反馈
94,486051,大众（进口）,高尔夫（进口）,2011款 1.4TSI DSG Cross Golf,进口大众高尔夫水泵故障水温过高且无报警,"A191,A221,",2020-06-19,信息审核
95,486049,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾方向盘磨损脱皮存在质量问题,"H157,",2020-06-19,用户评分
96,486037,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾升降挡时变速箱异响,"B33,",2020-06-19,处理反馈
97,486034,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,大众途观L行驶中提示变速箱进入紧急状态,"B96,B84,B77,",2020-06-19,信息审核
98,486029,上汽大众,朗逸,2019款 朗逸启航 1.5L 手动 舒适版 国VI,上汽大众朗逸刹车异响4S店告知正常,"E43,",2020-06-19,信息审核
99,486027,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾发动机异响 刹车踏板震动,"A9,D80,E111,",2020-06-19,处理反馈
100,486013,一汽-大众,高尔夫,2018款 230TSI 自动 舒适型,一汽大众高尔夫发动机运转时高压油泵异响,"A9,",2020-06-19,处理反馈
101,486008,一汽-大众,宝来,2019款 1.5L 自动 时尚型,一汽大众宝来大灯进水胎压误报自动驻车故障,"H88,H170,H203,",2020-06-19,处理反馈
102,485994,一汽-大众,速腾,2013款 2.0TSI GLI,一汽大众速腾发动机和变速箱漏油,"A12,B22,",2020-06-19,处理反馈
103,485953,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎开裂并且鼓包,"F100,F39,",2020-06-19,处理反馈
104,485942,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L天窗排水堵塞导致车内进水,"H90,",2020-06-19,信息审核
105,485930,上汽大众,途观L,2019款 改款 330TSI 自动 两驱 智动豪华版 国VI,上汽大众途观L变速箱异响 转向时车轮异响,"B33,G125,",2020-06-19,处理反馈
106,485923,上汽大众,朗逸,2017款 230TSI 双离合 舒适版,上汽大众朗逸变速箱跳挡 发动机空转,"B27,",2020-06-19,用户评分
107,485917,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾上坡辅助系统故障导致溜车,"H170,",2020-06-19,处理反馈
108,485909,一汽-大众,高尔夫·嘉旅,2016款 230TSI 手动 进取型,一汽大众高尔夫嘉旅天窗漏水希望厂家解决,"H90,",2020-06-19,处理反馈
109,485892,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国V,一汽大众探岳大灯亮度严重不足影响安全,"H82,",2020-06-18,用户评分
110,485812,上汽大众,Polo,2018款 1.5L 自动 安享型,上汽大众Polo车内异味严重无法忍受	,"H185,",2020-06-18,信息审核
111,485804,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国Ⅵ,一汽大众探岳探岳大灯白雾影响照明,"H82,",2020-06-18,处理反馈
112,485784,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾底盘异响希望尽快处理,"G56,",2020-06-18,处理反馈
113,485768,上汽大众,朗逸,2017款 1.6L 手动 风尚版,上汽大众朗逸韩泰轮胎老化 排气管生锈,"F100,H30,",2020-06-18,信息审核
114,485756,一汽-大众,宝来,2017款 1.6L 手动 舒适型,一汽大众宝来后排座椅骨架严重生锈,"H79,",2020-06-18,处理反馈
115,485742,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸新车方向盘有破损的现象,"H168,",2020-06-18,信息审核
116,485714,一汽-大众,速腾,2015款 1.6L  自动 舒适型,一汽大众速腾轮速传感器故障希望解决,"H234,",2020-06-18,处理反馈
117,485713,上汽大众,朗逸,2013款 1.4TSI 手动 舒适版,上汽大众朗逸车内顶棚布脱落质量差,"H168,",2020-06-18,信息审核
118,485677,一汽-大众,速腾,2019款 280TSI DSG 豪华型 国VI,一汽大众速腾变速箱异响顿挫 左前轮异响,"B33,B19,G125,",2020-06-18,处理反馈
119,485655,一汽-大众,迈腾,2020款 330TSI DSG 领先型,一汽大众迈腾行驶过程中飞轮异响严重,"A9,",2020-06-18,处理反馈
120,485619,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国V,一汽大众速腾行驶中变速箱异响天窗无法关闭,"B33,H192,",2020-06-18,用户评分
121,485564,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱无法换挡4S店不予保修,"B20,B115,I297,",2020-06-18,处理反馈
122,485541,上汽大众,朗逸,2019款 280TSI DSG 豪华版 国VI,上汽大众朗逸变速箱异响 顿挫 失去动力,"B33,B19,B334,",2020-06-17,处理反馈
123,485460,上汽大众,Polo,2018款 1.5L 自动 安享型,上汽大众Polo发动机舱有异味C柱内部异响,"H185,H15,",2020-06-17,信息审核
124,485423,上汽大众,途观L,2017款 330TSI 两驱 舒适版,上汽大众途观L变速箱无法倒挡希望处理,"B20,",2020-06-17,厂家受理
125,485396,一汽-大众,宝来,2018款 1.5L 自动 时尚型,一汽大众宝来电瓶亏电厂家拒绝更换,"H146,I297,",2020-06-17,处理反馈
126,485360,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳低速行驶过程中变速箱异响,"B33,",2020-06-17,处理反馈
127,485357,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎老化有裂纹要求处理,"F100,",2020-06-17,处理反馈
128,485355,一汽-大众,速腾,2018款 280TSI 双离合 旗舰型,一汽大众速腾韩泰轮胎严重老化开裂,"F100,",2020-06-17,处理反馈
129,485351,上汽大众,途观L,2017款 380TSI 四驱 旗舰版,上汽大众途观L变速箱异响严重希望处理,"B33,",2020-06-17,信息审核
130,485326,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,上汽大众途观330L变速箱报警要求厂家召回,"B96,B115,I297,Q322,Q290,",2020-06-17,厂家受理
131,485312,上汽大众,朗逸,2015款 1.6L 自动 风尚版,上汽大众朗逸仪表盘密封性差有飞虫进入,"H168,I297,",2020-06-17,厂家受理
132,485302,上汽大众,途岳,2019款 280TSI 两驱 旗舰版 国VI,大众途岳套餐中明确使用全合成机油不兑现,"L314,",2020-06-17,信息审核
133,485292,一汽-大众,迈腾,2012款 1.8TSI 尊贵型,一汽大众迈腾发动机烧机油严重变速箱脱挡,"A63,B19,B246,I297,",2020-06-17,处理反馈
134,485289,上汽大众,桑塔纳,2016款 1.6L 手动 风尚版 三厢,上汽大众桑塔纳四条佳通轮胎出现裂纹,"F100,",2020-06-17,信息审核
135,485274,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳低速行驶时变速箱异响顿挫,"B33,B19,",2020-06-17,处理反馈
136,485247,上汽大众,朗逸,2015款 1.6L 自动 舒适版,上汽大众朗逸节温器漏防冻液要求更换,"A37,",2020-06-17,信息审核
137,485225,上汽大众,朗逸,2015款 1.6L 自动 舒适版,上汽大众朗逸下雨天右后侧车门处渗水,"H109,",2020-06-17,信息审核
138,485200,一汽-大众,高尔夫·嘉旅,2016款 230TSI 自动 进取型,一汽大众高尔夫嘉旅变速箱挂挡机构损坏,"B96,B184,I297,",2020-06-17,处理反馈
139,485187,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯白内障影响驾驶,"H82,",2020-06-17,处理反馈
140,485179,一汽-大众,高尔夫,2010款 2.0TSI GTI,一汽大众高尔夫变速箱脱挡存在严重隐患,"B246,Q323,",2020-06-17,信息审核
141,485106,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸韩泰轮胎开裂希望厂家处理,"F100,",2020-06-17,厂家受理
142,485097,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾发动机水温报警强制熄火,"A14,A191,",2020-06-17,处理反馈
143,485065,一汽-大众,高尔夫,2011款 1.4TSI 手动 舒适型,一汽大众高尔夫变速箱挂挡机构损坏,"B20,B184,",2020-06-16,处理反馈
144,485040,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国V,一汽大众速腾转向系统有异响 底盘异响,"D59,G56,",2020-06-16,用户评分
145,485030,上汽大众,朗逸,2018款 1.5L 自动 风尚版 国V,上汽大众朗逸发生事故后4S店无配件更换,"N318,",2020-06-16,信息审核
146,485024,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾三条韩泰轮胎大面积开裂,"F100,",2020-06-16,用户评分
147,485003,上汽大众,朗逸纯电,2019款 优享版,上汽大众朗逸纯电4S店出售库存车不退定金,"M283,",2020-06-16,信息审核
148,484989,上汽大众,途昂,2017款 530 V6 四驱 至尊旗舰版,上汽大众途昂前大灯进水厂家拒绝更换,"H88,I297,",2020-06-16,信息审核
149,484945,一汽-大众,宝来,2020款 1.5L 自动 时尚型,一汽大众宝来发动机启动困难希望厂家处理,"A34,A44,",2020-06-16,用户评分
150,484919,一汽-大众,速腾,2020款 200TSI DSG 舒适型 国VI,一汽大众速腾新车车身多处出现划痕,"H81,",2020-06-16,处理反馈
151,484898,一汽-大众,宝来,2018款 1.5L 自动 舒适型,一汽大众宝来打方向沉多次维修4S店不解决,"D156,I295,I297,I293,J298,",2020-06-16,处理反馈
152,484892,上汽大众,途观,2016款 280TSI 自动 两驱 丝绸之路舒适版,上汽大众途观转向柱生锈 油耗升高,"A85,H79,",2020-06-16,用户评分
153,484863,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱异响4S店维修后未解决,"B33,B95,B115,I297,J298,",2020-06-16,处理反馈
154,484811,一汽-大众,高尔夫,2015款 1.4TSI 自动 舒适型,一汽大众高尔夫行驶中提示请挂到P挡,"B96,",2020-06-16,处理反馈
155,484788,一汽-大众,宝来,2020款 1.5L 自动 精英型,一汽大众宝来升降挡时变速箱有异常响声,"B33,",2020-06-16,处理反馈
156,484782,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾变速箱挂挡异响车门异响,"B33,H72,",2020-06-16,处理反馈
157,484780,上汽大众,凌渡,2015款 280TSI DSG 豪华版,上汽大众凌渡变速箱故障无法加速不给解决,"B334,B115,I297,",2020-06-16,信息审核
158,484771,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国V,一汽大众速腾漆面掉漆掉色售后不予解决,"H81,H201,",2020-06-16,用户评分
159,484769,上汽大众,凌渡,2015款 230TSI DSG  风尚版,上汽大众凌渡防火墙隔音棉材料发臭,"H185,",2020-06-16,信息审核
160,484749,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾发动机高压油泵异响,"A9,",2020-06-16,处理反馈
161,484731,大众（进口）,蔚揽,2016款 380TSI 两驱 逸行版,进口大众蔚揽天窗排水管堵塞导致驾驶室进水,"H90,I295,I297,Q322,Q290,",2020-06-16,信息审核
162,484700,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾中控表时针断裂不保修,"H168,",2020-06-16,处理反馈
163,484696,一汽-大众,探岳,2019款 380TSI 四驱 R-Line 国VI,一汽大众探岳低速行驶时变速箱异响,"B33,",2020-06-16,用户评分
164,484686,上汽大众,朗逸,2018款 1.5L 自动 风尚版 经典 国VI,上汽大众朗逸熄火后油箱处异响厂家不解决,"H147,I295,I294,",2020-06-16,用户评分
165,484666,一汽-大众,迈腾,2020款 330TSI DSG 领先型,一汽大众迈腾发动机抖动异响4S店无法解决,"A9,A24,D59,I295,I294,J298,J301,M284,",2020-06-16,处理反馈
166,484656,一汽-大众,速腾,2018款 280TSI 双离合 舒适型,一汽大众速腾佳通轮胎侧面出现裂纹,"F100,",2020-06-16,处理反馈
167,484620,上汽大众,途安,2018款 途安L 280TSI 自动 舒雅版 7座,上汽大众途安发动机舱内螺丝及增压器生锈,"H79,",2020-06-16,处理反馈
168,484606,一汽-大众,高尔夫·嘉旅,2019款 280TSI 自动 好奇型 国V,一汽大众高尔夫嘉旅天窗漏水多次维修未解决,"H90,",2020-06-15,处理反馈
169,484601,一汽-大众,速腾,2019款 280TSI DSG 豪华型 国VI,一汽大众速腾坡道起步时溜车 踩油门异响,"A174,H170,",2020-06-15,处理反馈
170,484598,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳升降挡时变速箱异响严重,"B33,",2020-06-15,处理反馈
171,484525,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸韩泰轮胎严重龟裂存在安全隐患,"F100,",2020-06-15,信息审核
172,484520,一汽-大众,速腾,2017款 230TSI 自动 舒适型,一汽大众速腾火花塞电极头断裂导致拉缸,"A329,A173,",2020-06-15,处理反馈
173,484499,一汽-大众,速腾,2018款 280TSI 双离合 豪华型,一汽大众速腾车顶掉漆厂家未回复,"H81,I294,",2020-06-15,处理反馈
